,1709
POINT (12.572589835901281 55.70125575831849),24
POINT (12.572654970282667 55.675368410556864),112
POINT (12.572665592562222 55.67900255632159),179
POINT (12.572719502925628 55.69027643417459),29
POINT (12.572746757592652 55.6883450733606),61
POINT (12.572750432055475 55.696029643114436),56
POINT (12.572846690780379 55.69140809127251),2
POINT (12.572866787884173 55.671103300142605),33
POINT (12.572949280156601 55.70764154181696),13
POINT (12.573091268840102 55.70601599917527),63
POINT (12.5731061398973 55.70813618905061),17
POINT (12.573106810590431 55.679258720786514),143
POINT (12.573135799472489 55.70709908456205),17
POINT (12.573191707909979 55.678717026445064),29
POINT (12.573200731741444 55.69724382497197),22
POINT (12.57320326932814 55.69064951018093),22
POINT (12.573218136161426 55.688349973480015),15
POINT (12.57324398929724 55.67338587282356),37
POINT (12.57324521568988 55.68924459291336),20
POINT (12.573329290941231 55.67632232814569),49
POINT (12.573356826485885 55.67148751124566),68
POINT (12.57341988048724 55.67366680944171),54
POINT (12.57354052194533 55.69622575509686),42
POINT (12.573609300183854 55.66431897027414),13
POINT (12.573622270637903 55.70501834912935),56
POINT (12.573641393016258 55.700520398630985),55
POINT (12.573667512332044 55.69770614124757),27
