FID,id,centroids
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4412,38666,POINT (12.5724119156781 55.67713890781899)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4411,38670,POINT (12.57024864751547 55.67529011264519)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4410,164223,POINT (12.54025102983534 55.71083938612168)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-440f,164087,POINT (12.57196577362001 55.67640312539175)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-440e,164224,POINT (12.5377108215994 55.7016167679197)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-440d,38385,POINT (12.57037334470261 55.68141538097627)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-440c,164488,POINT (12.58305071991267 55.68939654648442)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-440b,164568,POINT (12.57833651008594 55.68877630044404)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-440a,38799,POINT (12.560977875579 55.68128707420365)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4409,164485,POINT (12.6195519966747 55.66104793276157)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4408,164470,POINT (12.49561758740097 55.69754397380835)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4407,164479,POINT (12.59005500681472 55.67163774472387)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4406,164229,POINT (12.5633780030197 55.66827858706008)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4405,164447,POINT (12.5561755738328 55.69460012284725)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4404,38389,POINT (12.57614110394828 55.68158487162305)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4403,38159,POINT (12.5515709063696 55.68767648497005)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4402,164483,POINT (12.62029099226438 55.66048138955475)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4401,164461,POINT (12.51607413078335 55.70842107720176)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-4400,164486,POINT (12.60894627193209 55.6586444690054)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43ff,51249,POINT (12.5096389861217 55.7054206617968)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43fe,164487,POINT (12.57351766119963 55.67905505212176)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43fd,38764,POINT (12.56202666608734 55.67989696583238)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43fc,164496,POINT (12.53912357364676 55.70675020824739)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43fb,164500,POINT (12.52537711916199 55.70829651741683)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43fa,164502,POINT (12.53469099843085 55.7009548568283)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43f9,164490,POINT (12.54083989093703 55.70622251589774)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43f8,164484,POINT (12.61007189944193 55.66514622749669)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43f7,38408,POINT (12.5650710040569 55.67611844636063)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43f6,40718,POINT (12.57035816720921 55.68480797721473)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43f5,40894,POINT (12.55984386797607 55.68642211658852)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43f4,40804,POINT (12.55776970687916 55.68691520840709)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43f3,41028,POINT (12.56886770688876 55.68609969588249)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43f2,41062,POINT (12.58346874218826 55.68709727142272)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43f1,40985,POINT (12.5729669153358 55.68751007556259)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43f0,163865,POINT (12.59490152252926 55.68759424462083)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43ef,40529,POINT (12.56671103398557 55.68399957668376)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43ee,41017,POINT (12.57066628979558 55.68618934575652)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43ed,40535,POINT (12.56864219208882 55.68422267939317)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43ec,39389,POINT (12.58003449416056 55.67609084320611)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43eb,39390,POINT (12.57939645234144 55.67706119004917)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43ea,164126,POINT (12.54918058521389 55.67093348710541)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43e9,164135,POINT (12.51842168040213 55.6610922405514)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43e8,164206,POINT (12.54960212925331 55.70297099120763)
stednavn_flade.fid-7af2ebb0_1482643ff9f_-43e7,164209,POINT (12.53526382532174 55.7023315419714)
